DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G16-G17-G18-G19
DEBUG:root:Time[493.99562 ms]: Job[ 1], ARRIVE, gpt-8
DEBUG:root:Time[493.99562 ms]: Job[ 1], START, G24-G25-G26-G27-G28-G29-G30-G31
DEBUG:root:Time[975.27477 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[975.27477 ms]: Job[ 2], START, G20-G21-G22-G23
DEBUG:root:Time[1341.86104 ms]: Job[ 3], ARRIVE, vgg16-4
DEBUG:root:Time[1341.86104 ms]: Job[ 3], START, G0-G1-G2-G3
DEBUG:root:Time[1349.78009 ms]: Job[ 4], ARRIVE, gpt-8
DEBUG:root:Time[1349.78009 ms]: Job[ 4], START, G8-G9-G10-G11-G12-G13-G14-G15
DEBUG:root:Time[1604.76832 ms]: Job[ 5], ARRIVE, vgg16-4
DEBUG:root:Time[1604.76832 ms]: Job[ 5], START, G4-G5-G6-G7
DEBUG:root:Time[1707.88227 ms]: Job[ 6], ARRIVE, resnet50-4
DEBUG:root:Time[1866.23782 ms]: Job[ 7], ARRIVE, gpt-8
DEBUG:root:Time[2098.67839 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[2145.36696 ms]: Job[ 9], ARRIVE, gpt-2
DEBUG:root:Time[2214.24290 ms]: Job[10], ARRIVE, gpt-8
DEBUG:root:Time[2488.97607 ms]: Job[11], ARRIVE, resnet50-1
DEBUG:root:Time[2820.01555 ms]: Job[12], ARRIVE, gpt-4
DEBUG:root:Time[3231.53199 ms]: Job[13], ARRIVE, gpt-8
DEBUG:root:Time[3554.95984 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[3563.05306 ms]: Job[15], ARRIVE, gpt-4
DEBUG:root:Time[3589.93777 ms]: Job[16], ARRIVE, vgg16-8
DEBUG:root:Time[3891.41434 ms]: Job[17], ARRIVE, gpt-8
DEBUG:root:Time[3950.65290 ms]: Job[18], ARRIVE, gpt-8
DEBUG:root:Time[4014.37688 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[4436.72404 ms]: Job[20], ARRIVE, gpt-8
DEBUG:root:Time[4696.13000 ms]: Job[ 0], END, 4696.130000000029
DEBUG:root:Time[4701.98402 ms]: Job[ 6], START, G16-G17-G18-G19
DEBUG:root:Time[5084.84393 ms]: Job[21], ARRIVE, resnet50-1
DEBUG:root:Time[5263.55529 ms]: Job[22], ARRIVE, gpt-2
DEBUG:root:Time[5306.23101 ms]: Job[23], ARRIVE, vgg16-4
DEBUG:root:Time[5624.89827 ms]: Job[24], ARRIVE, gpt-8
DEBUG:root:Time[5771.80351 ms]: Job[25], ARRIVE, gpt-8
DEBUG:root:Time[5987.95986 ms]: Job[26], ARRIVE, gpt-8
DEBUG:root:Time[6384.34034 ms]: Job[27], ARRIVE, vgg16-8
DEBUG:root:Time[6518.26478 ms]: Job[28], ARRIVE, gpt-8
DEBUG:root:Time[6667.55587 ms]: Job[29], ARRIVE, gpt-4
DEBUG:root:Time[6914.03494 ms]: Job[30], ARRIVE, gpt-2
DEBUG:root:Time[7141.98347 ms]: Job[31], ARRIVE, vgg16-8
DEBUG:root:Time[7209.81351 ms]: Job[32], ARRIVE, gpt-8
DEBUG:root:Time[7224.91477 ms]: Job[33], ARRIVE, gpt-2
DEBUG:root:Time[7544.71022 ms]: Job[34], ARRIVE, gpt-8
DEBUG:root:Time[7686.80473 ms]: Job[35], ARRIVE, vgg16-2
DEBUG:root:Time[7773.31839 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[7928.16118 ms]: Job[37], ARRIVE, vgg16-1
DEBUG:root:Time[7994.46573 ms]: Job[38], ARRIVE, gpt-2
DEBUG:root:Time[8075.02355 ms]: Job[39], ARRIVE, gpt-8
DEBUG:root:Time[8288.61008 ms]: Job[40], ARRIVE, gpt-4
DEBUG:root:Time[8465.23705 ms]: Job[41], ARRIVE, gpt-4
DEBUG:root:Time[8548.34514 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[8657.16981 ms]: Job[43], ARRIVE, vgg16-1
DEBUG:root:Time[8721.81703 ms]: Job[44], ARRIVE, vgg16-4
DEBUG:root:Time[8910.93472 ms]: Job[45], ARRIVE, gpt-2
DEBUG:root:Time[8949.13179 ms]: Job[46], ARRIVE, gpt-8
DEBUG:root:Time[9146.65296 ms]: Job[47], ARRIVE, resnet50-1
DEBUG:root:Time[9525.31838 ms]: Job[48], ARRIVE, gpt-4
DEBUG:root:Time[9562.16623 ms]: Job[49], ARRIVE, vgg16-1
DEBUG:root:Time[9745.80144 ms]: Job[ 2], END, 8770.526666666641
DEBUG:root:Time[9849.33393 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[9963.15676 ms]: Job[51], ARRIVE, gpt-8
DEBUG:root:Time[10289.92939 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[10488.58935 ms]: Job[ 6], END, 8780.707080652346
DEBUG:root:Time[10497.75773 ms]: Job[ 7], START, G16-G17-G18-G19-G20-G21-G22-G23
DEBUG:root:Time[10642.98566 ms]: Job[53], ARRIVE, resnet50-1
DEBUG:root:Time[10977.11018 ms]: Job[54], ARRIVE, vgg16-4
DEBUG:root:Time[11171.50174 ms]: Job[55], ARRIVE, gpt-8
DEBUG:root:Time[11408.12365 ms]: Job[56], ARRIVE, mobilenet-8
DEBUG:root:Time[11633.47045 ms]: Job[57], ARRIVE, vgg16-1
