DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1-G2-G3
DEBUG:root:Time[1941.58883 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[1941.58883 ms]: Job[ 1], START, G4-G5
DEBUG:root:Time[2102.90753 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[2102.90753 ms]: Job[ 2], START, G8-G9-G10-G11
DEBUG:root:Time[3181.76951 ms]: Job[ 3], ARRIVE, mobilenet-4
DEBUG:root:Time[3181.76951 ms]: Job[ 3], START, G12-G13-G14-G15
DEBUG:root:Time[5827.11631 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[5827.11631 ms]: Job[ 4], START, G6-G7
DEBUG:root:Time[7174.84000 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[7205.34975 ms]: Job[ 3], END, 4023.5802380953005
DEBUG:root:Time[7229.17267 ms]: Job[ 5], START, G12-G13-G14-G15
DEBUG:root:Time[7406.72415 ms]: Job[ 6], ARRIVE, resnet50-2
DEBUG:root:Time[7461.46666 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[8012.54624 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[8067.16636 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[8802.65079 ms]: Job[10], ARRIVE, resnet50-4
DEBUG:root:Time[8949.07755 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[9938.14132 ms]: Job[12], ARRIVE, mobilenet-2
DEBUG:root:Time[11987.13620 ms]: Job[ 4], END, 6160.019883040985
DEBUG:root:Time[12000.01583 ms]: Job[ 6], START, G6-G7
DEBUG:root:Time[12107.84330 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[12209.62566 ms]: Job[ 2], END, 10106.718128654975
DEBUG:root:Time[12221.30468 ms]: Job[ 8], START, G10-G11
DEBUG:root:Time[12221.30468 ms]: Job[ 7], START, G8-G9
DEBUG:root:Time[12248.04468 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[14366.26797 ms]: Job[ 1], END, 12424.67914230024
DEBUG:root:Time[14367.23096 ms]: Job[ 9], START, G4-G5
DEBUG:root:Time[14639.96844 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[14767.72891 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[15179.35314 ms]: Job[17], ARRIVE, gpt-4
DEBUG:root:Time[15565.87138 ms]: Job[10], START, G12-G13-G14-G15
DEBUG:root:Time[15567.21513 ms]: Job[ 5], END, 8392.375126776802
DEBUG:root:Time[17318.30079 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[17416.50374 ms]: Job[ 6], END, 10009.779596653152
DEBUG:root:Time[17419.62927 ms]: Job[11], START, G6-G7
DEBUG:root:Time[17440.67310 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[17618.93971 ms]: Job[20], ARRIVE, mobilenet-2
DEBUG:root:Time[17991.59312 ms]: Job[21], ARRIVE, mobilenet-1
DEBUG:root:Time[18079.15916 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[18126.02460 ms]: Job[23], ARRIVE, resnet50-4
DEBUG:root:Time[19441.93376 ms]: Job[ 9], END, 11374.767401170284
DEBUG:root:Time[19450.47735 ms]: Job[12], START, G4-G5
DEBUG:root:Time[19960.94804 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[21317.93379 ms]: Job[25], ARRIVE, resnet50-2
DEBUG:root:Time[21501.26353 ms]: Job[26], ARRIVE, vgg16-1
DEBUG:root:Time[21895.57325 ms]: Job[27], ARRIVE, mobilenet-2
DEBUG:root:Time[22034.30957 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[22942.03668 ms]: Job[29], ARRIVE, vgg16-1
DEBUG:root:Time[23158.31376 ms]: Job[12], END, 13220.172441703253
DEBUG:root:Time[23176.13671 ms]: Job[ 7], END, 15714.670046300045
DEBUG:root:Time[23176.93482 ms]: Job[13], START, G4-G5-G8-G9
DEBUG:root:Time[23216.70599 ms]: Job[30], ARRIVE, gpt-4
DEBUG:root:Time[23353.28492 ms]: Job[31], ARRIVE, gpt-4
DEBUG:root:Time[23693.65472 ms]: Job[10], END, 14891.003925598157
DEBUG:root:Time[23706.58872 ms]: Job[14], START, G12-G13-G14-G15
DEBUG:root:Time[24444.61407 ms]: Job[32], ARRIVE, mobilenet-2
DEBUG:root:Time[24569.12601 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[25385.32105 ms]: Job[ 8], END, 17372.774812589087
DEBUG:root:Time[25408.06865 ms]: Job[15], START, G10-G11
DEBUG:root:Time[25524.13036 ms]: Job[34], ARRIVE, mobilenet-1
DEBUG:root:Time[25725.37019 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[26458.20105 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[26528.41231 ms]: Job[37], ARRIVE, resnet50-1
DEBUG:root:Time[27251.92634 ms]: Job[38], ARRIVE, gpt-2
DEBUG:root:Time[28236.69467 ms]: Job[39], ARRIVE, vgg16-4
DEBUG:root:Time[29639.69782 ms]: Job[40], ARRIVE, vgg16-4
DEBUG:root:Time[29717.88507 ms]: Job[41], ARRIVE, resnet50-2
DEBUG:root:Time[29958.03234 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[30874.49729 ms]: Job[43], ARRIVE, gpt-2
DEBUG:root:Time[31177.90988 ms]: Job[15], END, 16537.941447564124
DEBUG:root:Time[31224.37341 ms]: Job[16], START, G10-G11
DEBUG:root:Time[31745.29303 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[31873.52519 ms]: Job[45], ARRIVE, gpt-2
DEBUG:root:Time[31913.84470 ms]: Job[46], ARRIVE, vgg16-1
DEBUG:root:Time[31968.33023 ms]: Job[47], ARRIVE, mobilenet-1
DEBUG:root:Time[32044.63118 ms]: Job[14], END, 19796.58650051096
DEBUG:root:Time[32048.54616 ms]: Job[17], START, G12-G13-G14-G15
DEBUG:root:Time[32064.90260 ms]: Job[48], ARRIVE, vgg16-4
DEBUG:root:Time[32586.97384 ms]: Job[49], ARRIVE, gpt-2
DEBUG:root:Time[32756.39170 ms]: Job[50], ARRIVE, gpt-4
DEBUG:root:Time[32961.02036 ms]: Job[18], START, G0-G1
DEBUG:root:Time[32966.90994 ms]: Job[ 0], END, 32966.90994152034
DEBUG:root:Time[33900.31909 ms]: Job[51], ARRIVE, resnet50-2
DEBUG:root:Time[34090.19268 ms]: Job[11], END, 25141.115127903242
DEBUG:root:Time[34153.94902 ms]: Job[19], START, G2-G3-G6-G7
DEBUG:root:Time[34483.66685 ms]: Job[52], ARRIVE, gpt-2
DEBUG:root:Time[34856.34097 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[35037.06521 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[35759.15013 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[36695.32142 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[38613.49385 ms]: Job[57], ARRIVE, gpt-2
DEBUG:root:Time[39172.50223 ms]: Job[18], END, 21854.201444692884
DEBUG:root:Time[39178.39230 ms]: Job[20], START, G0-G1
DEBUG:root:Time[40182.70220 ms]: Job[58], ARRIVE, mobilenet-1
DEBUG:root:Time[40386.58862 ms]: Job[17], END, 25207.235473303692
DEBUG:root:Time[40400.87998 ms]: Job[21], START, G12
DEBUG:root:Time[40400.87998 ms]: Job[22], START, G13
DEBUG:root:Time[40561.66454 ms]: Job[59], ARRIVE, vgg16-2
DEBUG:root:Time[41996.57943 ms]: Job[20], END, 24377.63972017961
DEBUG:root:Time[42005.81998 ms]: Job[23], START, G0-G1-G14-G15
DEBUG:root:Time[43575.86998 ms]: Job[24], START, G10-G11
DEBUG:root:Time[43606.22955 ms]: Job[16], END, 28838.500639906517
DEBUG:root:Time[44343.44998 ms]: Job[22], END, 26264.290819542486
DEBUG:root:Time[44351.30595 ms]: Job[25], START, G12-G13
DEBUG:root:Time[44375.72998 ms]: Job[21], END, 26384.13685607305
DEBUG:root:Time[47853.94869 ms]: Job[25], END, 26536.014902592568
DEBUG:root:Time[47855.53179 ms]: Job[26], START, G12
DEBUG:root:Time[49985.50442 ms]: Job[27], START, G12-G13
DEBUG:root:Time[50006.99179 ms]: Job[26], END, 28505.72826136034
DEBUG:root:Time[53911.23837 ms]: Job[27], END, 32015.665122476927
DEBUG:root:Time[53911.67065 ms]: Job[28], START, G12-G13
DEBUG:root:Time[55628.06951 ms]: Job[24], END, 35667.121467781275
DEBUG:root:Time[55628.72213 ms]: Job[29], START, G10
DEBUG:root:Time[58068.52213 ms]: Job[29], END, 35126.4854466782
DEBUG:root:Time[67313.03556 ms]: Job[30], START, G0-G1-G10-G11
DEBUG:root:Time[67321.02347 ms]: Job[23], END, 49194.99887705422
DEBUG:root:Time[84110.85903 ms]: Job[32], START, G14-G15
DEBUG:root:Time[84110.85903 ms]: Job[31], START, G0-G1-G10-G11
DEBUG:root:Time[84115.29940 ms]: Job[30], END, 60898.5934140063
DEBUG:root:Time[87862.03143 ms]: Job[32], END, 63417.41735529546
DEBUG:root:Time[92465.07084 ms]: Job[33], START, G12-G13-G14-G15
DEBUG:root:Time[92479.89759 ms]: Job[28], END, 70445.58801586583
DEBUG:root:Time[102896.74347 ms]: Job[34], START, G2
DEBUG:root:Time[103070.49471 ms]: Job[19], END, 85629.82160618583
DEBUG:root:Time[106853.49042 ms]: Job[35], START, G2-G3-G6-G7
DEBUG:root:Time[106871.59347 ms]: Job[34], END, 81347.46310710715
