DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-2
DEBUG:root:Time[1543.37938 ms]: Job[ 1], ARRIVE, gpt-4
DEBUG:root:Time[1694.70613 ms]: Job[ 2], ARRIVE, gpt-2
DEBUG:root:Time[2034.19457 ms]: Job[ 3], ARRIVE, gpt-2
DEBUG:root:Time[2664.99914 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[3010.27179 ms]: Job[ 5], ARRIVE, gpt-2
DEBUG:root:Time[3716.49176 ms]: Job[ 6], ARRIVE, gpt-2
DEBUG:root:Time[4224.26222 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[5051.42446 ms]: Job[ 8], ARRIVE, gpt-4
DEBUG:root:Time[6525.56006 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[6796.16523 ms]: Job[10], ARRIVE, gpt-2
DEBUG:root:Time[7142.82699 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[8584.26437 ms]: Job[12], ARRIVE, resnet50-4
DEBUG:root:Time[8803.45672 ms]: Job[13], ARRIVE, resnet50-2
DEBUG:root:Time[10077.21739 ms]: Job[14], ARRIVE, mobilenet-1
DEBUG:root:Time[11725.56106 ms]: Job[15], ARRIVE, vgg16-2
DEBUG:root:Time[13360.39091 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[13423.36173 ms]: Job[17], ARRIVE, gpt-4
DEBUG:root:Time[13551.40072 ms]: Job[18], ARRIVE, mobilenet-2
DEBUG:root:Time[14606.70164 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[14913.56369 ms]: Job[20], ARRIVE, vgg16-1
DEBUG:root:Time[15001.24588 ms]: Job[21], ARRIVE, gpt-2
DEBUG:root:Time[16765.89204 ms]: Job[22], ARRIVE, mobilenet-2
DEBUG:root:Time[18779.03640 ms]: Job[23], ARRIVE, resnet50-2
DEBUG:root:Time[19407.59016 ms]: Job[24], ARRIVE, mobilenet-2
DEBUG:root:Time[22482.42308 ms]: Job[25], ARRIVE, resnet50-1
DEBUG:root:Time[22551.27431 ms]: Job[26], ARRIVE, gpt-2
DEBUG:root:Time[22590.29627 ms]: Job[27], ARRIVE, vgg16-1
DEBUG:root:Time[22663.18803 ms]: Job[28], ARRIVE, mobilenet-2
DEBUG:root:Time[22778.43256 ms]: Job[29], ARRIVE, vgg16-4
DEBUG:root:Time[23147.61166 ms]: Job[30], ARRIVE, resnet50-2
DEBUG:root:Time[23952.73784 ms]: Job[31], ARRIVE, gpt-4
DEBUG:root:Time[25322.44443 ms]: Job[32], ARRIVE, gpt-2
DEBUG:root:Time[25484.20714 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[25903.78627 ms]: Job[34], ARRIVE, vgg16-2
DEBUG:root:Time[26492.37922 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[26713.66572 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[27979.88247 ms]: Job[37], ARRIVE, gpt-2
DEBUG:root:Time[28760.33507 ms]: Job[38], ARRIVE, gpt-4
DEBUG:root:Time[29705.91961 ms]: Job[39], ARRIVE, mobilenet-2
DEBUG:root:Time[29986.44854 ms]: Job[40], ARRIVE, vgg16-1
DEBUG:root:Time[30891.61812 ms]: Job[41], ARRIVE, gpt-2
DEBUG:root:Time[31129.48021 ms]: Job[42], ARRIVE, gpt-2
DEBUG:root:Time[31774.78553 ms]: Job[43], ARRIVE, resnet50-1
DEBUG:root:Time[31851.94151 ms]: Job[44], ARRIVE, vgg16-2
DEBUG:root:Time[32037.85313 ms]: Job[45], ARRIVE, gpt-4
DEBUG:root:Time[32073.58759 ms]: Job[46], ARRIVE, gpt-4
DEBUG:root:Time[32166.49949 ms]: Job[47], ARRIVE, gpt-2
DEBUG:root:Time[32195.70982 ms]: Job[48], ARRIVE, mobilenet-2
DEBUG:root:Time[32322.80860 ms]: Job[49], ARRIVE, resnet50-2
DEBUG:root:Time[33824.21020 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[34762.12408 ms]: Job[51], ARRIVE, gpt-4
DEBUG:root:Time[35767.56180 ms]: Job[52], ARRIVE, gpt-2
DEBUG:root:Time[36353.09018 ms]: Job[53], ARRIVE, resnet50-4
DEBUG:root:Time[36663.32005 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[36982.25730 ms]: Job[55], ARRIVE, resnet50-2
DEBUG:root:Time[37919.68818 ms]: Job[56], ARRIVE, vgg16-1
DEBUG:root:Time[38122.04573 ms]: Job[57], ARRIVE, resnet50-2
DEBUG:root:Time[38462.52284 ms]: Job[58], ARRIVE, gpt-4
DEBUG:root:Time[39007.69196 ms]: Job[59], ARRIVE, resnet50-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1
DEBUG:root:Time[1543.37938 ms]: Job[ 1], START, G4-G5-G6-G7
DEBUG:root:Time[1694.70613 ms]: Job[ 2], START, G2-G3
DEBUG:root:Time[2034.19457 ms]: Job[ 3], START, G8-G9
DEBUG:root:Time[2664.99914 ms]: Job[ 4], START, G10-G11
DEBUG:root:Time[3010.27179 ms]: Job[ 5], START, G12-G13
DEBUG:root:Time[3716.49176 ms]: Job[ 6], START, G14-G15
DEBUG:root:Time[4185.76035 ms]: Job[ 0], END, 4185.760350877194
DEBUG:root:Time[4224.26222 ms]: Job[ 7], START, G0-G1
DEBUG:root:Time[4641.93351 ms]: Job[ 3], END, 2607.7389473684307
DEBUG:root:Time[4693.39482 ms]: Job[ 1], END, 3150.0154385964915
DEBUG:root:Time[5051.42446 ms]: Job[ 8], START, G4-G5-G6-G7
DEBUG:root:Time[6241.73018 ms]: Job[ 7], END, 2017.46795321638
DEBUG:root:Time[6375.69270 ms]: Job[ 6], END, 2659.2009356725184
DEBUG:root:Time[6525.56006 ms]: Job[ 9], START, G0-G1
DEBUG:root:Time[6796.16523 ms]: Job[10], START, G8-G9
DEBUG:root:Time[7142.82699 ms]: Job[11], START, G14-G15
DEBUG:root:Time[7748.93836 ms]: Job[ 9], END, 1223.378304093556
DEBUG:root:Time[8803.45672 ms]: Job[13], START, G0-G1
DEBUG:root:Time[8839.36418 ms]: Job[10], END, 2043.1989473684234
DEBUG:root:Time[9186.02594 ms]: Job[11], END, 2043.198947368418
DEBUG:root:Time[9188.16140 ms]: Job[12], START, G8-G9-G14-G15
DEBUG:root:Time[9830.49232 ms]: Job[ 2], END, 8135.7861988304085
DEBUG:root:Time[10077.21739 ms]: Job[14], START, G2
