DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G4-G8-G12
DEBUG:root:Time[970.79441 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[970.79441 ms]: Job[ 1], START, G1-G5
DEBUG:root:Time[1051.45376 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[1051.45376 ms]: Job[ 2], START, G9-G13-G2-G6
DEBUG:root:Time[1590.88476 ms]: Job[ 3], ARRIVE, mobilenet-4
DEBUG:root:Time[1590.88476 ms]: Job[ 3], START, G3-G10-G14-G15
DEBUG:root:Time[2913.55816 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[2913.55816 ms]: Job[ 4], START, G11-G7
DEBUG:root:Time[3587.42000 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[3703.36207 ms]: Job[ 6], ARRIVE, resnet50-2
DEBUG:root:Time[3730.73333 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[4006.27312 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[4033.58318 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[4401.32540 ms]: Job[10], ARRIVE, resnet50-4
DEBUG:root:Time[4474.53878 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[4969.07066 ms]: Job[12], ARRIVE, mobilenet-2
DEBUG:root:Time[5844.89635 ms]: Job[ 3], END, 4254.011590854171
DEBUG:root:Time[5850.30407 ms]: Job[ 5], START, G14-G15-G3-G10
DEBUG:root:Time[6053.92165 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[6124.02234 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[7319.98422 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[7383.86446 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[7589.67657 ms]: Job[17], ARRIVE, gpt-4
DEBUG:root:Time[8659.15039 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[8720.33655 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[8809.46986 ms]: Job[20], ARRIVE, mobilenet-2
DEBUG:root:Time[8895.36657 ms]: Job[ 4], END, 5981.808415227833
DEBUG:root:Time[8955.77888 ms]: Job[ 6], START, G7-G11
DEBUG:root:Time[8995.79656 ms]: Job[21], ARRIVE, mobilenet-1
DEBUG:root:Time[9039.57958 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[9063.01230 ms]: Job[23], ARRIVE, resnet50-4
DEBUG:root:Time[9980.47402 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[10658.96690 ms]: Job[25], ARRIVE, resnet50-2
DEBUG:root:Time[10750.63176 ms]: Job[26], ARRIVE, vgg16-1
DEBUG:root:Time[10947.78663 ms]: Job[27], ARRIVE, mobilenet-2
DEBUG:root:Time[11017.15479 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[11319.85859 ms]: Job[ 7], START, G13-G9
DEBUG:root:Time[11319.85859 ms]: Job[ 8], START, G2-G6
DEBUG:root:Time[11339.48245 ms]: Job[ 2], END, 10288.028689053823
DEBUG:root:Time[11471.01834 ms]: Job[29], ARRIVE, vgg16-1
DEBUG:root:Time[11608.35299 ms]: Job[30], ARRIVE, gpt-4
DEBUG:root:Time[11676.64246 ms]: Job[31], ARRIVE, gpt-4
DEBUG:root:Time[12091.85307 ms]: Job[ 9], START, G1-G5
DEBUG:root:Time[12098.94456 ms]: Job[ 1], END, 11128.150142130948
DEBUG:root:Time[12222.30704 ms]: Job[32], ARRIVE, mobilenet-2
DEBUG:root:Time[12284.56301 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[12762.06518 ms]: Job[34], ARRIVE, mobilenet-1
DEBUG:root:Time[12862.68509 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[13229.10053 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[13264.20615 ms]: Job[37], ARRIVE, resnet50-1
DEBUG:root:Time[13625.96317 ms]: Job[38], ARRIVE, gpt-2
DEBUG:root:Time[14118.34734 ms]: Job[39], ARRIVE, vgg16-4
DEBUG:root:Time[14322.79214 ms]: Job[10], START, G3-G10-G14-G15
DEBUG:root:Time[14346.33897 ms]: Job[ 5], END, 10758.918966001273
DEBUG:root:Time[14819.84891 ms]: Job[40], ARRIVE, vgg16-4
DEBUG:root:Time[14858.94253 ms]: Job[41], ARRIVE, resnet50-2
DEBUG:root:Time[14979.01617 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[15437.24864 ms]: Job[43], ARRIVE, gpt-2
DEBUG:root:Time[15872.64651 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[15936.76260 ms]: Job[45], ARRIVE, gpt-2
DEBUG:root:Time[15956.92235 ms]: Job[46], ARRIVE, vgg16-1
DEBUG:root:Time[15984.16512 ms]: Job[47], ARRIVE, mobilenet-1
DEBUG:root:Time[16032.45130 ms]: Job[48], ARRIVE, vgg16-4
DEBUG:root:Time[16293.48692 ms]: Job[49], ARRIVE, gpt-2
DEBUG:root:Time[16378.19585 ms]: Job[50], ARRIVE, gpt-4
DEBUG:root:Time[16950.15955 ms]: Job[51], ARRIVE, resnet50-2
DEBUG:root:Time[17241.83342 ms]: Job[52], ARRIVE, gpt-2
DEBUG:root:Time[17428.17048 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[17518.53261 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[17879.57506 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[18347.66071 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[19306.74692 ms]: Job[57], ARRIVE, gpt-2
DEBUG:root:Time[20091.35110 ms]: Job[58], ARRIVE, mobilenet-1
DEBUG:root:Time[20280.83227 ms]: Job[59], ARRIVE, vgg16-2
DEBUG:root:Time[21111.58396 ms]: Job[11], START, G13-G9
DEBUG:root:Time[21129.64331 ms]: Job[ 7], END, 17398.90998525147
DEBUG:root:Time[23884.48222 ms]: Job[12], START, G2-G6
DEBUG:root:Time[23897.02127 ms]: Job[ 8], END, 19890.748154043453
DEBUG:root:Time[25465.72950 ms]: Job[ 6], END, 21762.367425542663
DEBUG:root:Time[27566.85485 ms]: Job[13], START, G1-G5-G11-G7
DEBUG:root:Time[27584.50180 ms]: Job[ 9], END, 23550.918619485823
DEBUG:root:Time[27894.43947 ms]: Job[12], END, 22925.368805862592
DEBUG:root:Time[36615.98543 ms]: Job[11], END, 32141.446649937392
DEBUG:root:Time[36624.10269 ms]: Job[14], START, G2-G6-G9-G13
DEBUG:root:Time[37227.44347 ms]: Job[10], END, 32826.118069929405
DEBUG:root:Time[37238.37661 ms]: Job[15], START, G3-G14
DEBUG:root:Time[37238.37661 ms]: Job[16], START, G15-G10
DEBUG:root:Time[45862.49915 ms]: Job[17], START, G13-G2-G6-G9
DEBUG:root:Time[45876.21121 ms]: Job[14], END, 39752.1888729519
DEBUG:root:Time[54912.29024 ms]: Job[18], START, G2-G13
DEBUG:root:Time[54937.09474 ms]: Job[17], END, 47347.4181643927
DEBUG:root:Time[56152.72660 ms]: Job[19], START, G3-G14-G6-G9
DEBUG:root:Time[56158.04954 ms]: Job[15], END, 48838.065324621
DEBUG:root:Time[61220.45283 ms]: Job[18], END, 52561.30243384847
DEBUG:root:Time[61226.55559 ms]: Job[20], START, G2-G13
DEBUG:root:Time[64326.38471 ms]: Job[20], END, 55516.914853515744
DEBUG:root:Time[64362.52253 ms]: Job[21], START, G2
DEBUG:root:Time[64362.52253 ms]: Job[22], START, G13
DEBUG:root:Time[66316.36253 ms]: Job[22], END, 57276.78294521003
