DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G4-G8-G12
DEBUG:root:Time[970.79441 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[970.79441 ms]: Job[ 1], START, G1-G5
DEBUG:root:Time[1051.45376 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[1051.45376 ms]: Job[ 2], START, G9-G13-G2-G6
DEBUG:root:Time[1590.88476 ms]: Job[ 3], ARRIVE, mobilenet-4
DEBUG:root:Time[1590.88476 ms]: Job[ 3], START, G3-G10-G14-G15
DEBUG:root:Time[2913.55816 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[2913.55816 ms]: Job[ 4], START, G11-G7
DEBUG:root:Time[3587.42000 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[3703.36207 ms]: Job[ 6], ARRIVE, resnet50-2
DEBUG:root:Time[3730.73333 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[4006.27312 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[4033.58318 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[4401.32540 ms]: Job[10], ARRIVE, resnet50-4
DEBUG:root:Time[4474.53878 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[4969.07066 ms]: Job[12], ARRIVE, mobilenet-2
DEBUG:root:Time[5844.89635 ms]: Job[ 3], END, 4254.011590854171
DEBUG:root:Time[5850.30407 ms]: Job[ 9], START, G10-G15
DEBUG:root:Time[5850.30407 ms]: Job[12], START, G3-G14
DEBUG:root:Time[6053.92165 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[6124.02234 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[7319.98422 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[7383.86446 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[7589.67657 ms]: Job[17], ARRIVE, gpt-4
DEBUG:root:Time[8659.15039 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[8720.33655 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[8809.46986 ms]: Job[20], ARRIVE, mobilenet-2
DEBUG:root:Time[8826.05977 ms]: Job[12], END, 3856.989108007514
DEBUG:root:Time[8836.62282 ms]: Job[20], START, G3-G14
DEBUG:root:Time[8954.99137 ms]: Job[ 6], START, G7-G11
DEBUG:root:Time[8973.69157 ms]: Job[ 4], END, 6060.13341725827
DEBUG:root:Time[8995.79656 ms]: Job[21], ARRIVE, mobilenet-1
DEBUG:root:Time[9039.57958 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[9063.01230 ms]: Job[23], ARRIVE, resnet50-4
DEBUG:root:Time[9980.47402 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[10658.96690 ms]: Job[25], ARRIVE, resnet50-2
DEBUG:root:Time[10750.63176 ms]: Job[26], ARRIVE, vgg16-1
DEBUG:root:Time[10947.78663 ms]: Job[27], ARRIVE, mobilenet-2
DEBUG:root:Time[11017.15479 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[11386.38961 ms]: Job[26], START, G3
DEBUG:root:Time[11386.38961 ms]: Job[22], START, G14
DEBUG:root:Time[11387.31120 ms]: Job[20], END, 2577.841342906904
DEBUG:root:Time[11471.01834 ms]: Job[29], ARRIVE, vgg16-1
DEBUG:root:Time[11608.35299 ms]: Job[30], ARRIVE, gpt-4
DEBUG:root:Time[11676.64246 ms]: Job[31], ARRIVE, gpt-4
DEBUG:root:Time[11763.96185 ms]: Job[25], START, G6-G9
DEBUG:root:Time[11763.96185 ms]: Job[21], START, G13
DEBUG:root:Time[11763.96185 ms]: Job[29], START, G2
DEBUG:root:Time[11773.40296 ms]: Job[ 2], END, 10721.94920030249
DEBUG:root:Time[12075.40168 ms]: Job[27], START, G1-G5
DEBUG:root:Time[12079.36331 ms]: Job[ 1], END, 11108.568891623332
DEBUG:root:Time[12222.30704 ms]: Job[32], ARRIVE, mobilenet-2
DEBUG:root:Time[12284.56301 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[12451.02961 ms]: Job[26], END, 1700.3978510592406
DEBUG:root:Time[12762.06518 ms]: Job[34], ARRIVE, mobilenet-1
DEBUG:root:Time[12762.06518 ms]: Job[34], START, G3
DEBUG:root:Time[12862.68509 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[12983.86185 ms]: Job[29], END, 1512.843510476414
DEBUG:root:Time[13229.10053 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[13264.20615 ms]: Job[37], ARRIVE, resnet50-1
DEBUG:root:Time[13264.20615 ms]: Job[37], START, G2
DEBUG:root:Time[13340.22961 ms]: Job[22], END, 4300.650034210743
DEBUG:root:Time[13625.96317 ms]: Job[38], ARRIVE, gpt-2
DEBUG:root:Time[13710.75730 ms]: Job[32], START, G13-G14
DEBUG:root:Time[13734.96185 ms]: Job[21], END, 4739.165289099861
DEBUG:root:Time[14118.34734 ms]: Job[39], ARRIVE, vgg16-4
DEBUG:root:Time[14733.06518 ms]: Job[34], END, 1971.0
DEBUG:root:Time[14819.84891 ms]: Job[40], ARRIVE, vgg16-4
DEBUG:root:Time[14858.94253 ms]: Job[41], ARRIVE, resnet50-2
DEBUG:root:Time[14979.01617 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[15437.24864 ms]: Job[43], ARRIVE, gpt-2
DEBUG:root:Time[15464.46126 ms]: Job[41], START, G2-G3
DEBUG:root:Time[15497.16615 ms]: Job[37], END, 2232.960000000001
DEBUG:root:Time[15507.32322 ms]: Job[32], END, 3285.0161856677314
DEBUG:root:Time[15513.26384 ms]: Job[15], START, G13-G14
DEBUG:root:Time[15792.37782 ms]: Job[18], START, G1-G5
DEBUG:root:Time[15794.47929 ms]: Job[27], END, 4846.692668246264
DEBUG:root:Time[15872.64651 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[15936.76260 ms]: Job[45], ARRIVE, gpt-2
DEBUG:root:Time[15956.92235 ms]: Job[46], ARRIVE, vgg16-1
DEBUG:root:Time[15984.16512 ms]: Job[47], ARRIVE, mobilenet-1
DEBUG:root:Time[16032.45130 ms]: Job[48], ARRIVE, vgg16-4
DEBUG:root:Time[16293.48692 ms]: Job[49], ARRIVE, gpt-2
DEBUG:root:Time[16378.19585 ms]: Job[50], ARRIVE, gpt-4
DEBUG:root:Time[16950.15955 ms]: Job[51], ARRIVE, resnet50-2
DEBUG:root:Time[17227.09688 ms]: Job[41], END, 2368.1543409349524
DEBUG:root:Time[17227.44868 ms]: Job[46], START, G2
DEBUG:root:Time[17227.44868 ms]: Job[47], START, G3
DEBUG:root:Time[17241.83342 ms]: Job[52], ARRIVE, gpt-2
DEBUG:root:Time[17428.17048 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[17518.53261 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[17879.57506 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[18034.25069 ms]: Job[15], END, 10714.266469151327
DEBUG:root:Time[18042.04079 ms]: Job[51], START, G13-G14
DEBUG:root:Time[18347.66071 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[18469.52868 ms]: Job[46], END, 2512.606328653168
DEBUG:root:Time[18773.13712 ms]: Job[ 7], START, G2-G3
DEBUG:root:Time[18804.24868 ms]: Job[47], END, 2820.0835639980505
DEBUG:root:Time[19306.74692 ms]: Job[57], ARRIVE, gpt-2
DEBUG:root:Time[19960.56984 ms]: Job[51], END, 3010.4102904234423
DEBUG:root:Time[20091.35110 ms]: Job[58], ARRIVE, mobilenet-1
