DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1-G2-G3
DEBUG:root:Time[970.79441 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[970.79441 ms]: Job[ 1], START, G4-G5
DEBUG:root:Time[1051.45376 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[1051.45376 ms]: Job[ 2], START, G8-G9-G10-G11
DEBUG:root:Time[1590.88476 ms]: Job[ 3], ARRIVE, mobilenet-4
DEBUG:root:Time[1590.88476 ms]: Job[ 3], START, G12-G13-G14-G15
DEBUG:root:Time[2913.55816 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[2913.55816 ms]: Job[ 4], START, G6-G7
DEBUG:root:Time[3584.87142 ms]: Job[ 3], END, 1993.9866666666373
DEBUG:root:Time[3587.42000 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[3587.42000 ms]: Job[ 5], START, G12-G13-G14-G15
DEBUG:root:Time[3703.36207 ms]: Job[ 6], ARRIVE, resnet50-2
DEBUG:root:Time[3730.73333 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[4006.27312 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[4033.58318 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[4401.32540 ms]: Job[10], ARRIVE, resnet50-4
DEBUG:root:Time[4474.53878 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[4969.07066 ms]: Job[12], ARRIVE, mobilenet-2
DEBUG:root:Time[5993.56810 ms]: Job[ 4], END, 3080.0099415204563
DEBUG:root:Time[6053.92165 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[6053.92165 ms]: Job[ 6], START, G6-G7
DEBUG:root:Time[6104.81283 ms]: Job[ 2], END, 5053.359064327471
DEBUG:root:Time[6106.14008 ms]: Job[ 7], START, G8-G9
DEBUG:root:Time[6106.14008 ms]: Job[ 8], START, G10-G11
DEBUG:root:Time[6124.02234 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[7182.27628 ms]: Job[ 1], END, 6211.481871345013
DEBUG:root:Time[7183.54830 ms]: Job[ 9], START, G4-G5
DEBUG:root:Time[7319.98422 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[7383.86446 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[7589.67657 ms]: Job[17], ARRIVE, gpt-4
DEBUG:root:Time[7628.55512 ms]: Job[11], START, G12-G13
DEBUG:root:Time[7628.55512 ms]: Job[12], START, G14-G15
DEBUG:root:Time[7630.10725 ms]: Job[ 5], END, 4042.687251461974
DEBUG:root:Time[8511.72943 ms]: Job[ 6], END, 4808.367357150175
DEBUG:root:Time[8512.77904 ms]: Job[15], START, G6-G7
DEBUG:root:Time[8659.15039 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[8720.33655 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[8809.46986 ms]: Job[20], ARRIVE, mobilenet-2
DEBUG:root:Time[8995.79656 ms]: Job[21], ARRIVE, mobilenet-1
DEBUG:root:Time[9039.57958 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[9063.01230 ms]: Job[23], ARRIVE, resnet50-4
DEBUG:root:Time[9452.27068 ms]: Job[12], END, 4483.200017491143
DEBUG:root:Time[9453.35393 ms]: Job[21], START, G14
DEBUG:root:Time[9453.35393 ms]: Job[22], START, G15
DEBUG:root:Time[9573.95608 ms]: Job[ 9], END, 5540.372896835654
DEBUG:root:Time[9575.00569 ms]: Job[16], START, G4-G5
DEBUG:root:Time[9980.47402 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[10658.96690 ms]: Job[25], ARRIVE, resnet50-2
DEBUG:root:Time[10750.63176 ms]: Job[26], ARRIVE, vgg16-1
DEBUG:root:Time[10947.78663 ms]: Job[27], ARRIVE, mobilenet-2
DEBUG:root:Time[11017.15479 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[11373.80511 ms]: Job[26], START, G15
DEBUG:root:Time[11407.19393 ms]: Job[22], END, 2367.614352610268
DEBUG:root:Time[11408.11310 ms]: Job[ 7], END, 7677.379769703133
DEBUG:root:Time[11408.11310 ms]: Job[18], START, G8-G9
DEBUG:root:Time[11416.13532 ms]: Job[15], END, 4096.15109936978
DEBUG:root:Time[11416.58617 ms]: Job[20], START, G6-G7
DEBUG:root:Time[11424.35393 ms]: Job[21], END, 2428.557370875551
DEBUG:root:Time[11471.01834 ms]: Job[29], ARRIVE, vgg16-1
DEBUG:root:Time[11471.01834 ms]: Job[29], START, G14
DEBUG:root:Time[11608.35299 ms]: Job[30], ARRIVE, gpt-4
DEBUG:root:Time[11676.64246 ms]: Job[31], ARRIVE, gpt-4
DEBUG:root:Time[12222.30704 ms]: Job[32], ARRIVE, mobilenet-2
DEBUG:root:Time[12284.56301 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[12438.44511 ms]: Job[26], END, 1687.813343543292
DEBUG:root:Time[12670.46972 ms]: Job[24], START, G14-G15
DEBUG:root:Time[12690.91834 ms]: Job[29], END, 1219.8999999999996
DEBUG:root:Time[12736.17945 ms]: Job[ 8], END, 8729.906334134173
DEBUG:root:Time[12736.17945 ms]: Job[25], START, G10-G11
DEBUG:root:Time[12762.06518 ms]: Job[34], ARRIVE, mobilenet-1
DEBUG:root:Time[12856.44582 ms]: Job[20], END, 4046.9759666715017
DEBUG:root:Time[12857.09536 ms]: Job[34], START, G6
DEBUG:root:Time[12862.68509 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[13229.10053 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[13264.20615 ms]: Job[37], ARRIVE, resnet50-1
DEBUG:root:Time[13264.20615 ms]: Job[37], START, G7
DEBUG:root:Time[13625.96317 ms]: Job[38], ARRIVE, gpt-2
DEBUG:root:Time[14118.34734 ms]: Job[39], ARRIVE, vgg16-4
DEBUG:root:Time[14426.14452 ms]: Job[25], END, 3767.177626202936
DEBUG:root:Time[14432.02339 ms]: Job[27], START, G10-G11
DEBUG:root:Time[14654.51680 ms]: Job[18], END, 5995.366410522685
DEBUG:root:Time[14659.80615 ms]: Job[28], START, G8-G9
DEBUG:root:Time[14819.84891 ms]: Job[40], ARRIVE, vgg16-4
DEBUG:root:Time[14828.09536 ms]: Job[34], END, 2066.030180426187
DEBUG:root:Time[14858.94253 ms]: Job[41], ARRIVE, resnet50-2
DEBUG:root:Time[14979.01617 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[15437.24864 ms]: Job[43], ARRIVE, gpt-2
DEBUG:root:Time[15467.67302 ms]: Job[32], START, G6-G7
DEBUG:root:Time[15497.16615 ms]: Job[37], END, 2232.960000000001
DEBUG:root:Time[15698.69177 ms]: Job[38], START, G12-G13
DEBUG:root:Time[15700.05076 ms]: Job[11], END, 11225.511980196461
DEBUG:root:Time[15796.43793 ms]: Job[41], START, G4-G5
DEBUG:root:Time[15797.32963 ms]: Job[16], END, 8413.465169225055
DEBUG:root:Time[15872.64651 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[15936.76260 ms]: Job[45], ARRIVE, gpt-2
DEBUG:root:Time[15956.92235 ms]: Job[46], ARRIVE, vgg16-1
DEBUG:root:Time[15984.16512 ms]: Job[47], ARRIVE, mobilenet-1
DEBUG:root:Time[16032.45130 ms]: Job[48], ARRIVE, vgg16-4
DEBUG:root:Time[16293.48692 ms]: Job[49], ARRIVE, gpt-2
DEBUG:root:Time[16378.19585 ms]: Job[50], ARRIVE, gpt-4
DEBUG:root:Time[16421.81925 ms]: Job[27], END, 5474.032629382369
DEBUG:root:Time[16422.07713 ms]: Job[46], START, G10
DEBUG:root:Time[16422.07713 ms]: Job[47], START, G11
DEBUG:root:Time[16437.87752 ms]: Job[43], START, G0-G1
DEBUG:root:Time[16437.87752 ms]: Job[45], START, G2-G3
DEBUG:root:Time[16483.45497 ms]: Job[ 0], END, 16483.45497076027
DEBUG:root:Time[16950.15955 ms]: Job[51], ARRIVE, resnet50-2
DEBUG:root:Time[17241.83342 ms]: Job[52], ARRIVE, gpt-2
DEBUG:root:Time[17357.18428 ms]: Job[32], END, 5134.877248336268
DEBUG:root:Time[17358.43109 ms]: Job[49], START, G6-G7
DEBUG:root:Time[17428.17048 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[17518.53261 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[17623.21218 ms]: Job[51], START, G4-G5
DEBUG:root:Time[17623.85514 ms]: Job[41], END, 2764.912607378772
DEBUG:root:Time[17664.15713 ms]: Job[46], END, 1707.2347795343921
DEBUG:root:Time[17879.57506 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[17966.57732 ms]: Job[52], START, G10-G11
DEBUG:root:Time[17998.87713 ms]: Job[47], END, 2014.7120148792746
DEBUG:root:Time[18347.66071 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[19250.50612 ms]: Job[53], START, G14-G15
DEBUG:root:Time[19269.54407 ms]: Job[24], END, 9289.070047100064
DEBUG:root:Time[19306.74692 ms]: Job[57], ARRIVE, gpt-2
DEBUG:root:Time[19499.08017 ms]: Job[51], END, 2548.9206236112223
DEBUG:root:Time[19509.89707 ms]: Job[55], START, G4-G5
DEBUG:root:Time[20091.35110 ms]: Job[58], ARRIVE, mobilenet-1
DEBUG:root:Time[20280.83227 ms]: Job[59], ARRIVE, vgg16-2
DEBUG:root:Time[27184.19093 ms]: Job[58], START, G12
DEBUG:root:Time[27189.66799 ms]: Job[38], END, 13563.70481745119
