DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1-G2-G3
DEBUG:root:Time[219.33807 ms]: Job[ 1], ARRIVE, mobilenet-1
DEBUG:root:Time[219.33807 ms]: Job[ 1], START, G4
DEBUG:root:Time[250.75079 ms]: Job[ 2], ARRIVE, gpt-2
DEBUG:root:Time[250.75079 ms]: Job[ 2], START, G5-G6
DEBUG:root:Time[1323.83634 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[1323.83634 ms]: Job[ 3], START, G7-G8-G9-G10
DEBUG:root:Time[1664.73807 ms]: Job[ 1], END, 1445.4
DEBUG:root:Time[2108.10667 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[2108.10667 ms]: Job[ 4], START, G4-G11
DEBUG:root:Time[2135.45418 ms]: Job[ 5], ARRIVE, mobilenet-1
DEBUG:root:Time[2135.45418 ms]: Job[ 5], START, G12
DEBUG:root:Time[2417.59528 ms]: Job[ 6], ARRIVE, gpt-2
DEBUG:root:Time[2417.59528 ms]: Job[ 6], START, G13-G14
DEBUG:root:Time[3336.90814 ms]: Job[ 7], ARRIVE, gpt-4
DEBUG:root:Time[3456.77515 ms]: Job[ 8], ARRIVE, vgg16-1
DEBUG:root:Time[3456.77515 ms]: Job[ 8], START, G15
DEBUG:root:Time[3539.43303 ms]: Job[ 9], ARRIVE, vgg16-4
DEBUG:root:Time[3648.05312 ms]: Job[10], ARRIVE, gpt-2
DEBUG:root:Time[4040.03957 ms]: Job[11], ARRIVE, vgg16-4
DEBUG:root:Time[4139.30418 ms]: Job[ 5], END, 2003.8500000000004
DEBUG:root:Time[4290.12780 ms]: Job[10], START, G12-G5
DEBUG:root:Time[4292.50250 ms]: Job[ 2], END, 4041.751715399615
DEBUG:root:Time[4455.25432 ms]: Job[12], ARRIVE, gpt-4
DEBUG:root:Time[4565.77515 ms]: Job[ 8], END, 1108.9999999999995
DEBUG:root:Time[4856.52585 ms]: Job[13], ARRIVE, mobilenet-1
DEBUG:root:Time[4856.52585 ms]: Job[13], START, G6
DEBUG:root:Time[4947.97573 ms]: Job[14], ARRIVE, mobilenet-4
DEBUG:root:Time[5229.89925 ms]: Job[15], ARRIVE, mobilenet-2
DEBUG:root:Time[5723.90609 ms]: Job[16], ARRIVE, resnet50-2
DEBUG:root:Time[5845.01945 ms]: Job[17], ARRIVE, vgg16-2
DEBUG:root:Time[6021.81636 ms]: Job[18], ARRIVE, vgg16-2
DEBUG:root:Time[6329.95717 ms]: Job[19], ARRIVE, vgg16-2
DEBUG:root:Time[6569.36678 ms]: Job[ 0], END, 6569.366783625711
DEBUG:root:Time[6582.06728 ms]: Job[15], START, G0-G1
DEBUG:root:Time[6582.06728 ms]: Job[16], START, G2-G15
DEBUG:root:Time[6663.27585 ms]: Job[13], END, 1806.75
DEBUG:root:Time[7224.14726 ms]: Job[20], ARRIVE, resnet50-1
DEBUG:root:Time[7224.14726 ms]: Job[20], START, G3
DEBUG:root:Time[7724.10810 ms]: Job[21], ARRIVE, gpt-2
DEBUG:root:Time[7755.85335 ms]: Job[22], ARRIVE, mobilenet-2
DEBUG:root:Time[8085.50790 ms]: Job[23], ARRIVE, gpt-4
DEBUG:root:Time[8107.92865 ms]: Job[15], END, 2878.0294014250376
DEBUG:root:Time[8108.88945 ms]: Job[17], START, G0-G1
DEBUG:root:Time[8272.88030 ms]: Job[18], START, G13-G14
DEBUG:root:Time[8278.86674 ms]: Job[ 6], END, 5861.271461988294
DEBUG:root:Time[8968.64726 ms]: Job[20], END, 1744.499999999999
DEBUG:root:Time[9177.62767 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[10524.60356 ms]: Job[25], ARRIVE, gpt-4
DEBUG:root:Time[10975.24370 ms]: Job[26], ARRIVE, vgg16-2
DEBUG:root:Time[11370.06209 ms]: Job[27], ARRIVE, gpt-4
DEBUG:root:Time[11398.21237 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[11941.89802 ms]: Job[16], END, 6217.991933130396
DEBUG:root:Time[11946.50136 ms]: Job[21], START, G6-G15
DEBUG:root:Time[11946.50136 ms]: Job[19], START, G2-G3
DEBUG:root:Time[12538.93204 ms]: Job[29], ARRIVE, gpt-2
DEBUG:root:Time[13115.92300 ms]: Job[30], ARRIVE, resnet50-4
DEBUG:root:Time[13347.68085 ms]: Job[31], ARRIVE, vgg16-2
DEBUG:root:Time[13628.01208 ms]: Job[32], ARRIVE, resnet50-1
DEBUG:root:Time[14191.17021 ms]: Job[33], ARRIVE, resnet50-2
DEBUG:root:Time[14514.88030 ms]: Job[34], ARRIVE, vgg16-4
DEBUG:root:Time[14577.70254 ms]: Job[35], ARRIVE, gpt-2
DEBUG:root:Time[14809.31435 ms]: Job[36], ARRIVE, resnet50-4
DEBUG:root:Time[14927.88049 ms]: Job[37], ARRIVE, resnet50-2
DEBUG:root:Time[15671.63820 ms]: Job[32], START, G5
DEBUG:root:Time[15685.88836 ms]: Job[10], END, 12037.83524401166
DEBUG:root:Time[15756.84616 ms]: Job[38], ARRIVE, vgg16-4
DEBUG:root:Time[16432.56675 ms]: Job[39], ARRIVE, gpt-4
DEBUG:root:Time[17137.01820 ms]: Job[32], END, 3509.0061230533447
DEBUG:root:Time[17641.74346 ms]: Job[18], END, 11619.927099658062
DEBUG:root:Time[17645.36452 ms]: Job[24], START, G5-G14
DEBUG:root:Time[17645.36452 ms]: Job[22], START, G12-G13
DEBUG:root:Time[17844.03387 ms]: Job[40], ARRIVE, gpt-4
DEBUG:root:Time[18337.62908 ms]: Job[41], ARRIVE, vgg16-1
DEBUG:root:Time[18370.06034 ms]: Job[41], START, G0
DEBUG:root:Time[18377.96547 ms]: Job[17], END, 12532.946024392546
DEBUG:root:Time[19382.08857 ms]: Job[22], END, 11626.235223235282
DEBUG:root:Time[19386.38496 ms]: Job[26], START, G12-G13
DEBUG:root:Time[19420.34484 ms]: Job[42], ARRIVE, mobilenet-4
DEBUG:root:Time[19747.77209 ms]: Job[28], START, G0-G1
DEBUG:root:Time[19767.40034 ms]: Job[41], END, 1429.7712688604333
DEBUG:root:Time[19989.69552 ms]: Job[43], ARRIVE, gpt-4
DEBUG:root:Time[20098.81549 ms]: Job[44], ARRIVE, gpt-2
DEBUG:root:Time[20872.76044 ms]: Job[45], ARRIVE, gpt-4
DEBUG:root:Time[21189.91548 ms]: Job[46], ARRIVE, gpt-2
DEBUG:root:Time[22115.76520 ms]: Job[47], ARRIVE, resnet50-1
DEBUG:root:Time[22140.37301 ms]: Job[48], ARRIVE, resnet50-1
DEBUG:root:Time[23139.13556 ms]: Job[49], ARRIVE, gpt-4
DEBUG:root:Time[23984.38585 ms]: Job[47], START, G0
DEBUG:root:Time[23984.38585 ms]: Job[48], START, G1
DEBUG:root:Time[23985.07936 ms]: Job[28], END, 12586.866992749796
DEBUG:root:Time[24228.66276 ms]: Job[19], END, 17898.70559431674
DEBUG:root:Time[24229.27002 ms]: Job[29], START, G2-G3
DEBUG:root:Time[24266.16633 ms]: Job[50], ARRIVE, resnet50-2
DEBUG:root:Time[24982.77138 ms]: Job[51], ARRIVE, resnet50-2
DEBUG:root:Time[25793.49874 ms]: Job[52], ARRIVE, vgg16-2
DEBUG:root:Time[26077.78585 ms]: Job[48], END, 3937.4128396803862
DEBUG:root:Time[26149.62238 ms]: Job[31], START, G0-G1
DEBUG:root:Time[26182.45585 ms]: Job[47], END, 4066.690647644926
DEBUG:root:Time[26286.51452 ms]: Job[53], ARRIVE, mobilenet-2
DEBUG:root:Time[26340.66772 ms]: Job[54], ARRIVE, gpt-2
DEBUG:root:Time[26376.28781 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[26486.60952 ms]: Job[26], END, 15511.365819404818
DEBUG:root:Time[26494.84343 ms]: Job[33], START, G12-G13
DEBUG:root:Time[27438.07196 ms]: Job[56], ARRIVE, resnet50-2
DEBUG:root:Time[27521.24837 ms]: Job[35], START, G5-G14
DEBUG:root:Time[27540.00132 ms]: Job[24], END, 18362.373647758795
DEBUG:root:Time[28656.14556 ms]: Job[33], END, 14464.975346578876
DEBUG:root:Time[28657.10727 ms]: Job[37], START, G12-G13
DEBUG:root:Time[29239.95908 ms]: Job[57], ARRIVE, resnet50-4
DEBUG:root:Time[29271.33097 ms]: Job[58], ARRIVE, gpt-2
DEBUG:root:Time[29453.24856 ms]: Job[59], ARRIVE, resnet50-4
DEBUG:root:Time[30567.72488 ms]: Job[37], END, 15639.844388258554
DEBUG:root:Time[30572.52998 ms]: Job[44], START, G12-G13
DEBUG:root:Time[31205.63642 ms]: Job[46], START, G2-G3
DEBUG:root:Time[31220.79271 ms]: Job[29], END, 18681.86067554655
DEBUG:root:Time[34405.39971 ms]: Job[50], START, G0-G1
DEBUG:root:Time[34411.73466 ms]: Job[31], END, 21064.05381048488
DEBUG:root:Time[35210.10250 ms]: Job[52], START, G9-G10
DEBUG:root:Time[35210.10250 ms]: Job[51], START, G7-G8
DEBUG:root:Time[35473.68871 ms]: Job[ 3], END, 34149.85236990618
DEBUG:root:Time[35792.35224 ms]: Job[35], END, 21214.64969628704
DEBUG:root:Time[37301.39747 ms]: Job[50], END, 13035.23114121538
DEBUG:root:Time[37303.64054 ms]: Job[54], START, G5-G14
DEBUG:root:Time[37303.64054 ms]: Job[53], START, G0-G1
DEBUG:root:Time[38800.28714 ms]: Job[55], START, G4-G11
DEBUG:root:Time[38835.39477 ms]: Job[53], END, 12548.88025282299
DEBUG:root:Time[38836.79153 ms]: Job[56], START, G0-G1
DEBUG:root:Time[38976.40383 ms]: Job[ 4], END, 36868.29716354828
DEBUG:root:Time[40964.41615 ms]: Job[56], END, 13526.344187874594
