DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, mobilenet-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G12-G13
DEBUG:root:Time[1125.96698 ms]: Job[ 1], ARRIVE, gpt-4
DEBUG:root:Time[1125.96698 ms]: Job[ 1], START, G4-G8-G9-G5
DEBUG:root:Time[1341.50877 ms]: Job[ 0], END, 1341.5087719298272
DEBUG:root:Time[2509.76918 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[2509.76918 ms]: Job[ 2], START, G12-G13-G14-G15
DEBUG:root:Time[2562.31026 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[2562.31026 ms]: Job[ 3], START, G0-G1-G2-G3
DEBUG:root:Time[4796.86177 ms]: Job[ 4], ARRIVE, gpt-4
DEBUG:root:Time[4796.86177 ms]: Job[ 4], START, G10-G6-G7-G11
DEBUG:root:Time[5013.96609 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[5029.93922 ms]: Job[ 6], ARRIVE, vgg16-4
DEBUG:root:Time[5246.85037 ms]: Job[ 7], ARRIVE, resnet50-4
DEBUG:root:Time[5422.30357 ms]: Job[ 8], ARRIVE, resnet50-2
DEBUG:root:Time[5492.30207 ms]: Job[ 9], ARRIVE, vgg16-2
DEBUG:root:Time[5813.01178 ms]: Job[10], ARRIVE, resnet50-2
DEBUG:root:Time[7004.07029 ms]: Job[11], ARRIVE, mobilenet-4
DEBUG:root:Time[7227.23617 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[7591.18263 ms]: Job[13], ARRIVE, mobilenet-1
DEBUG:root:Time[9334.32523 ms]: Job[ 1], END, 8208.358245614094
DEBUG:root:Time[9362.17772 ms]: Job[12], START, G4-G5
DEBUG:root:Time[9362.17772 ms]: Job[13], START, G8
DEBUG:root:Time[9771.62435 ms]: Job[ 4], END, 4974.762573099479
DEBUG:root:Time[9786.03736 ms]: Job[11], START, G6-G9-G10-G11
DEBUG:root:Time[10213.88645 ms]: Job[14], ARRIVE, gpt-2
DEBUG:root:Time[10326.39342 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[10536.25223 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[11004.68444 ms]: Job[14], START, G7-G8
DEBUG:root:Time[11027.23852 ms]: Job[17], ARRIVE, mobilenet-2
DEBUG:root:Time[11037.52772 ms]: Job[13], END, 3446.3450809489577
DEBUG:root:Time[11896.35171 ms]: Job[18], ARRIVE, resnet50-4
DEBUG:root:Time[12455.89553 ms]: Job[11], END, 5451.825233177498
DEBUG:root:Time[12455.91085 ms]: Job[17], START, G9-G10
DEBUG:root:Time[12674.80691 ms]: Job[19], ARRIVE, vgg16-1
DEBUG:root:Time[12674.80691 ms]: Job[19], START, G11
DEBUG:root:Time[12795.05700 ms]: Job[20], ARRIVE, resnet50-1
DEBUG:root:Time[12795.05700 ms]: Job[20], START, G6
DEBUG:root:Time[12961.31871 ms]: Job[21], ARRIVE, resnet50-2
DEBUG:root:Time[13380.02481 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[13449.53247 ms]: Job[23], ARRIVE, vgg16-1
DEBUG:root:Time[13629.77357 ms]: Job[22], START, G11
DEBUG:root:Time[13650.72691 ms]: Job[19], END, 975.9200000000001
DEBUG:root:Time[14354.19982 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[14511.12280 ms]: Job[23], START, G6
DEBUG:root:Time[14539.55700 ms]: Job[20], END, 1744.5
DEBUG:root:Time[14570.79600 ms]: Job[17], END, 3543.5574842911374
DEBUG:root:Time[14571.80357 ms]: Job[24], START, G9-G10
DEBUG:root:Time[14621.20123 ms]: Job[25], ARRIVE, gpt-4
DEBUG:root:Time[14765.51899 ms]: Job[26], ARRIVE, vgg16-2
DEBUG:root:Time[14918.09282 ms]: Job[27], ARRIVE, mobilenet-1
DEBUG:root:Time[15398.32280 ms]: Job[23], END, 1948.790332355722
DEBUG:root:Time[15409.16357 ms]: Job[27], START, G6
DEBUG:root:Time[15618.50357 ms]: Job[22], END, 2238.478762904653
DEBUG:root:Time[15651.65156 ms]: Job[25], START, G12-G13-G14-G15
DEBUG:root:Time[15696.53315 ms]: Job[ 2], END, 13186.763976608221
DEBUG:root:Time[15749.07423 ms]: Job[ 3], END, 13186.763976608228
DEBUG:root:Time[15778.07655 ms]: Job[16], START, G0-G1
DEBUG:root:Time[15778.07655 ms]: Job[ 8], START, G2-G3
DEBUG:root:Time[16098.42722 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[16303.84178 ms]: Job[29], ARRIVE, gpt-4
DEBUG:root:Time[17084.66757 ms]: Job[28], START, G6-G11
DEBUG:root:Time[17117.36357 ms]: Job[27], END, 2199.270749333482
DEBUG:root:Time[17407.94235 ms]: Job[12], END, 10180.706185013953
DEBUG:root:Time[17408.38805 ms]: Job[10], START, G4-G5
DEBUG:root:Time[18607.71267 ms]: Job[ 8], END, 13185.409107549964
DEBUG:root:Time[18608.05559 ms]: Job[15], START, G2-G3
DEBUG:root:Time[18732.22408 ms]: Job[14], END, 8518.337623831943
DEBUG:root:Time[19518.68887 ms]: Job[24], END, 5164.489053307354
DEBUG:root:Time[19519.67060 ms]: Job[21], START, G8-G9
DEBUG:root:Time[19881.45454 ms]: Job[10], END, 14068.442754486805
DEBUG:root:Time[19881.46579 ms]: Job[29], START, G4-G5-G10-G7
DEBUG:root:Time[19921.41620 ms]: Job[30], ARRIVE, gpt-2
DEBUG:root:Time[20486.52702 ms]: Job[31], ARRIVE, vgg16-2
DEBUG:root:Time[20568.19363 ms]: Job[32], ARRIVE, gpt-4
DEBUG:root:Time[21123.26395 ms]: Job[30], START, G2-G3
DEBUG:root:Time[21123.81688 ms]: Job[15], END, 10797.423462239769
DEBUG:root:Time[21716.25276 ms]: Job[21], END, 8754.934053695259
DEBUG:root:Time[21739.26594 ms]: Job[ 9], START, G8-G9
DEBUG:root:Time[21917.09448 ms]: Job[33], ARRIVE, gpt-2
DEBUG:root:Time[22215.32611 ms]: Job[34], ARRIVE, gpt-2
DEBUG:root:Time[22281.76358 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[23013.66548 ms]: Job[36], ARRIVE, gpt-2
DEBUG:root:Time[23160.96052 ms]: Job[36], START, G4-G5
DEBUG:root:Time[23160.96052 ms]: Job[33], START, G7-G10
DEBUG:root:Time[23161.70888 ms]: Job[29], END, 6857.867097229531
