DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, mobilenet-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G4
DEBUG:root:Time[1125.96698 ms]: Job[ 1], ARRIVE, gpt-4
DEBUG:root:Time[1125.96698 ms]: Job[ 1], START, G8-G12-G9-G13
DEBUG:root:Time[1691.31600 ms]: Job[ 0], END, 1691.3160037782975
DEBUG:root:Time[2509.76918 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[2509.76918 ms]: Job[ 2], START, G0-G4-G1-G5
DEBUG:root:Time[2562.31026 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[2562.31026 ms]: Job[ 3], START, G2-G6-G3-G7
DEBUG:root:Time[4796.86177 ms]: Job[ 4], ARRIVE, gpt-4
DEBUG:root:Time[4796.86177 ms]: Job[ 4], START, G10-G14-G11-G15
DEBUG:root:Time[5013.96609 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[5029.93922 ms]: Job[ 6], ARRIVE, vgg16-4
DEBUG:root:Time[5246.85037 ms]: Job[ 7], ARRIVE, resnet50-4
DEBUG:root:Time[5422.30357 ms]: Job[ 8], ARRIVE, resnet50-2
DEBUG:root:Time[5492.30207 ms]: Job[ 9], ARRIVE, vgg16-2
DEBUG:root:Time[5813.01178 ms]: Job[10], ARRIVE, resnet50-2
DEBUG:root:Time[7004.07029 ms]: Job[11], ARRIVE, mobilenet-4
DEBUG:root:Time[7227.23617 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[7591.18263 ms]: Job[13], ARRIVE, mobilenet-1
DEBUG:root:Time[10213.88645 ms]: Job[14], ARRIVE, gpt-2
DEBUG:root:Time[10326.39342 ms]: Job[15], ARRIVE, resnet50-2
DEBUG:root:Time[10536.25223 ms]: Job[16], ARRIVE, gpt-2
DEBUG:root:Time[11027.23852 ms]: Job[17], ARRIVE, mobilenet-2
DEBUG:root:Time[11896.35171 ms]: Job[18], ARRIVE, resnet50-4
DEBUG:root:Time[12674.80691 ms]: Job[19], ARRIVE, vgg16-1
DEBUG:root:Time[12795.05700 ms]: Job[20], ARRIVE, resnet50-1
DEBUG:root:Time[12961.31871 ms]: Job[21], ARRIVE, resnet50-2
DEBUG:root:Time[13190.39854 ms]: Job[ 4], END, 8393.536768730226
DEBUG:root:Time[13197.09329 ms]: Job[19], START, G10
DEBUG:root:Time[13197.09329 ms]: Job[13], START, G14
DEBUG:root:Time[13197.09329 ms]: Job[20], START, G11
DEBUG:root:Time[13380.02481 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[13380.02481 ms]: Job[22], START, G15
DEBUG:root:Time[13449.53247 ms]: Job[23], ARRIVE, vgg16-1
DEBUG:root:Time[13892.59004 ms]: Job[ 1], END, 12766.623057004042
