DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, vgg16-4
DEBUG:root:Time[368.02991 ms]: Job[ 1], ARRIVE, vgg16-4
DEBUG:root:Time[1889.46998 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[4121.82416 ms]: Job[ 3], ARRIVE, resnet50-1
DEBUG:root:Time[4182.08259 ms]: Job[ 4], ARRIVE, mobilenet-2
DEBUG:root:Time[4295.41476 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[5699.49101 ms]: Job[ 6], ARRIVE, vgg16-2
DEBUG:root:Time[6559.13856 ms]: Job[ 7], ARRIVE, mobilenet-4
DEBUG:root:Time[7055.46049 ms]: Job[ 8], ARRIVE, vgg16-4
DEBUG:root:Time[7396.01874 ms]: Job[ 9], ARRIVE, gpt-4
DEBUG:root:Time[9798.80074 ms]: Job[10], ARRIVE, resnet50-2
DEBUG:root:Time[9974.43702 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[11040.83619 ms]: Job[12], ARRIVE, gpt-4
DEBUG:root:Time[12035.77624 ms]: Job[13], ARRIVE, gpt-2
DEBUG:root:Time[12191.26871 ms]: Job[14], ARRIVE, mobilenet-2
DEBUG:root:Time[12913.50076 ms]: Job[15], ARRIVE, mobilenet-4
DEBUG:root:Time[13226.37980 ms]: Job[16], ARRIVE, mobilenet-2
DEBUG:root:Time[14294.09206 ms]: Job[17], ARRIVE, vgg16-2
DEBUG:root:Time[14410.30005 ms]: Job[18], ARRIVE, gpt-4
DEBUG:root:Time[15700.55675 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[17380.49820 ms]: Job[20], ARRIVE, gpt-2
DEBUG:root:Time[17553.29395 ms]: Job[21], ARRIVE, gpt-4
DEBUG:root:Time[18406.07306 ms]: Job[22], ARRIVE, resnet50-1
DEBUG:root:Time[19449.17194 ms]: Job[23], ARRIVE, gpt-4
DEBUG:root:Time[19537.46036 ms]: Job[24], ARRIVE, gpt-4
DEBUG:root:Time[19911.98743 ms]: Job[25], ARRIVE, vgg16-4
DEBUG:root:Time[20172.29721 ms]: Job[26], ARRIVE, gpt-4
DEBUG:root:Time[21061.35762 ms]: Job[27], ARRIVE, resnet50-2
DEBUG:root:Time[21925.39051 ms]: Job[28], ARRIVE, gpt-4
DEBUG:root:Time[22063.56949 ms]: Job[29], ARRIVE, mobilenet-2
DEBUG:root:Time[22385.17231 ms]: Job[30], ARRIVE, mobilenet-2
DEBUG:root:Time[23011.97984 ms]: Job[31], ARRIVE, gpt-2
DEBUG:root:Time[23202.23059 ms]: Job[32], ARRIVE, gpt-4
DEBUG:root:Time[23571.53359 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[23730.44294 ms]: Job[34], ARRIVE, gpt-4
DEBUG:root:Time[24044.31586 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[24321.86144 ms]: Job[36], ARRIVE, gpt-4
DEBUG:root:Time[25100.15463 ms]: Job[37], ARRIVE, gpt-2
DEBUG:root:Time[25386.94596 ms]: Job[38], ARRIVE, gpt-4
DEBUG:root:Time[25934.50480 ms]: Job[39], ARRIVE, resnet50-2
DEBUG:root:Time[26231.77982 ms]: Job[40], ARRIVE, gpt-4
DEBUG:root:Time[26608.39291 ms]: Job[41], ARRIVE, vgg16-1
DEBUG:root:Time[27190.90331 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[27618.01492 ms]: Job[43], ARRIVE, gpt-4
DEBUG:root:Time[29693.65252 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[30447.34298 ms]: Job[45], ARRIVE, vgg16-4
DEBUG:root:Time[30723.54269 ms]: Job[46], ARRIVE, mobilenet-4
DEBUG:root:Time[31109.87205 ms]: Job[47], ARRIVE, vgg16-4
DEBUG:root:Time[31466.28785 ms]: Job[48], ARRIVE, resnet50-4
DEBUG:root:Time[31628.97809 ms]: Job[49], ARRIVE, vgg16-4
DEBUG:root:Time[34022.42517 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[34224.47893 ms]: Job[51], ARRIVE, mobilenet-2
DEBUG:root:Time[36129.63834 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[36899.25181 ms]: Job[53], ARRIVE, resnet50-2
DEBUG:root:Time[38594.81831 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[38616.82984 ms]: Job[55], ARRIVE, vgg16-4
DEBUG:root:Time[39932.76470 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[40162.08226 ms]: Job[57], ARRIVE, gpt-4
DEBUG:root:Time[40752.95701 ms]: Job[58], ARRIVE, resnet50-1
DEBUG:root:Time[40919.34352 ms]: Job[59], ARRIVE, gpt-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G12-G13-G14-G15
DEBUG:root:Time[368.02991 ms]: Job[ 1], START, G8-G9-G10-G11
DEBUG:root:Time[1889.46998 ms]: Job[ 2], START, G0-G4-G5-G1
DEBUG:root:Time[4121.82416 ms]: Job[ 3], START, G6
DEBUG:root:Time[4182.08259 ms]: Job[ 4], START, G2-G3
DEBUG:root:Time[5936.10416 ms]: Job[ 3], END, 1814.2799999999997
DEBUG:root:Time[5914.54310 ms]: Job[ 6], START, G6-G7
DEBUG:root:Time[5917.74076 ms]: Job[ 4], END, 1735.6581676413707
DEBUG:root:Time[6881.51131 ms]: Job[ 2], END, 4992.041325536089
DEBUG:root:Time[6884.03315 ms]: Job[ 7], START, G0-G1-G2-G3
DEBUG:root:Time[8557.55768 ms]: Job[ 7], END, 1998.4191139390896
DEBUG:root:Time[8560.43315 ms]: Job[ 5], START, G0-G1-G2-G3
DEBUG:root:Time[9798.80074 ms]: Job[10], START, G4-G5
DEBUG:root:Time[12967.17467 ms]: Job[ 6], END, 7267.683664773542
DEBUG:root:Time[12952.35610 ms]: Job[13], START, G6-G7
DEBUG:root:Time[13039.77743 ms]: Job[10], END, 3240.9766861597927
DEBUG:root:Time[13055.29991 ms]: Job[14], START, G4-G5
DEBUG:root:Time[14982.20845 ms]: Job[14], END, 2790.939741039436
DEBUG:root:Time[14983.84991 ms]: Job[16], START, G4-G5
DEBUG:root:Time[16044.37384 ms]: Job[13], END, 4008.5976076490497
DEBUG:root:Time[16051.24328 ms]: Job[11], START, G6-G7
DEBUG:root:Time[16375.83277 ms]: Job[ 1], END, 16007.80285714284
DEBUG:root:Time[16360.82223 ms]: Job[18], START, G8-G9-G10-G11
DEBUG:root:Time[16730.38013 ms]: Job[16], END, 3504.000329542443
DEBUG:root:Time[16737.50429 ms]: Job[17], START, G4-G5
DEBUG:root:Time[19645.50562 ms]: Job[18], END, 5235.2055735596605
DEBUG:root:Time[19647.18429 ms]: Job[20], START, G9-G10
DEBUG:root:Time[19647.18429 ms]: Job[22], START, G8
DEBUG:root:Time[21007.89429 ms]: Job[22], END, 2601.821229913712
DEBUG:root:Time[21061.35762 ms]: Job[27], START, G8-G11
DEBUG:root:Time[22271.72571 ms]: Job[ 0], END, 22271.72571428577
DEBUG:root:Time[22262.62770 ms]: Job[29], START, G12-G13
DEBUG:root:Time[22385.17231 ms]: Job[30], START, G14-G15
DEBUG:root:Time[23854.13366 ms]: Job[27], END, 2792.7760428846777
DEBUG:root:Time[23861.07407 ms]: Job[31], START, G8-G11
DEBUG:root:Time[24188.89670 ms]: Job[29], END, 2125.3272074747183
DEBUG:root:Time[24382.97797 ms]: Job[17], END, 10088.885906588419
DEBUG:root:Time[24377.03898 ms]: Job[23], START, G12-G4-G5-G13
DEBUG:root:Time[24552.22494 ms]: Job[30], END, 2167.052631579707
DEBUG:root:Time[25043.88813 ms]: Job[ 5], END, 20748.473369662184
DEBUG:root:Time[25057.02373 ms]: Job[28], START, G14-G0-G1-G15
DEBUG:root:Time[25100.15463 ms]: Job[37], START, G2-G3
DEBUG:root:Time[26199.16483 ms]: Job[20], END, 8818.666629967167
DEBUG:root:Time[26197.05884 ms]: Job[39], START, G9-G10
DEBUG:root:Time[27544.40502 ms]: Job[28], END, 5619.014505976022
DEBUG:root:Time[27549.09289 ms]: Job[41], START, G14
DEBUG:root:Time[28356.84904 ms]: Job[23], END, 8907.677102618334
DEBUG:root:Time[28358.35114 ms]: Job[35], START, G12-G4-G13-G15
DEBUG:root:Time[28502.83289 ms]: Job[41], END, 1894.4399865535052
DEBUG:root:Time[28485.05486 ms]: Job[38], START, G5-G0-G1-G14
DEBUG:root:Time[28735.95654 ms]: Job[39], END, 2801.451741555862
DEBUG:root:Time[29000.08413 ms]: Job[31], END, 5988.1042889169585
DEBUG:root:Time[29009.96007 ms]: Job[42], START, G8-G9-G10-G11
DEBUG:root:Time[30880.41651 ms]: Job[35], END, 6836.100650194883
DEBUG:root:Time[30886.89933 ms]: Job[43], START, G12-G4-G13-G15
DEBUG:root:Time[36987.09078 ms]: Job[38], END, 11600.144815937136
DEBUG:root:Time[36999.33773 ms]: Job[11], END, 27024.900707740955
DEBUG:root:Time[37002.24821 ms]: Job[51], START, G0-G1
DEBUG:root:Time[37002.24821 ms]: Job[50], START, G5-G6
DEBUG:root:Time[37002.24821 ms]: Job[33], START, G14-G5-G6-G7
