DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1
DEBUG:root:Time[20.26849 ms]: Job[ 1], ARRIVE, gpt-4
DEBUG:root:Time[20.26849 ms]: Job[ 1], START, G2-G3-G4-G5
DEBUG:root:Time[2012.32047 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[2012.32047 ms]: Job[ 2], START, G6-G7-G8-G9
DEBUG:root:Time[2103.46458 ms]: Job[ 3], ARRIVE, vgg16-2
DEBUG:root:Time[2103.46458 ms]: Job[ 3], START, G10-G11
DEBUG:root:Time[6517.57467 ms]: Job[ 4], ARRIVE, gpt-4
DEBUG:root:Time[6517.57467 ms]: Job[ 4], START, G12-G13-G14-G15
DEBUG:root:Time[7795.81403 ms]: Job[ 5], ARRIVE, mobilenet-4
DEBUG:root:Time[8033.87048 ms]: Job[ 6], ARRIVE, mobilenet-1
DEBUG:root:Time[8538.95792 ms]: Job[ 7], ARRIVE, vgg16-4
DEBUG:root:Time[10907.52859 ms]: Job[ 8], ARRIVE, gpt-4
DEBUG:root:Time[11143.96065 ms]: Job[ 9], ARRIVE, resnet50-2
DEBUG:root:Time[12276.02643 ms]: Job[10], ARRIVE, vgg16-1
DEBUG:root:Time[12280.52804 ms]: Job[11], ARRIVE, gpt-2
DEBUG:root:Time[13196.88325 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[13565.81567 ms]: Job[13], ARRIVE, resnet50-2
DEBUG:root:Time[13697.68236 ms]: Job[14], ARRIVE, gpt-2
DEBUG:root:Time[13842.04348 ms]: Job[15], ARRIVE, vgg16-1
DEBUG:root:Time[14541.03355 ms]: Job[16], ARRIVE, resnet50-1
DEBUG:root:Time[15960.68847 ms]: Job[17], ARRIVE, gpt-2
DEBUG:root:Time[16530.02642 ms]: Job[18], ARRIVE, vgg16-1
DEBUG:root:Time[16876.25354 ms]: Job[19], ARRIVE, vgg16-2
DEBUG:root:Time[17030.54652 ms]: Job[20], ARRIVE, resnet50-4
DEBUG:root:Time[18541.93560 ms]: Job[21], ARRIVE, gpt-2
DEBUG:root:Time[18730.64410 ms]: Job[22], ARRIVE, gpt-4
DEBUG:root:Time[18815.77914 ms]: Job[23], ARRIVE, vgg16-4
DEBUG:root:Time[19208.40141 ms]: Job[24], ARRIVE, vgg16-2
DEBUG:root:Time[20243.28441 ms]: Job[25], ARRIVE, resnet50-1
DEBUG:root:Time[20487.78264 ms]: Job[26], ARRIVE, gpt-2
DEBUG:root:Time[20838.68095 ms]: Job[27], ARRIVE, mobilenet-4
DEBUG:root:Time[21753.64982 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[21758.72928 ms]: Job[29], ARRIVE, gpt-4
DEBUG:root:Time[24198.52792 ms]: Job[30], ARRIVE, mobilenet-4
DEBUG:root:Time[24484.51427 ms]: Job[31], ARRIVE, vgg16-2
DEBUG:root:Time[24523.02815 ms]: Job[32], ARRIVE, gpt-2
DEBUG:root:Time[24825.17933 ms]: Job[33], ARRIVE, gpt-4
DEBUG:root:Time[25581.67989 ms]: Job[34], ARRIVE, resnet50-2
DEBUG:root:Time[25937.53360 ms]: Job[35], ARRIVE, mobilenet-1
DEBUG:root:Time[26123.14560 ms]: Job[36], ARRIVE, mobilenet-2
DEBUG:root:Time[26347.71445 ms]: Job[37], ARRIVE, gpt-2
DEBUG:root:Time[28884.66500 ms]: Job[38], ARRIVE, mobilenet-1
DEBUG:root:Time[29534.10663 ms]: Job[39], ARRIVE, vgg16-2
DEBUG:root:Time[31377.45474 ms]: Job[40], ARRIVE, resnet50-4
DEBUG:root:Time[33542.65946 ms]: Job[41], ARRIVE, gpt-2
DEBUG:root:Time[33964.45888 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[33993.26907 ms]: Job[43], ARRIVE, vgg16-1
DEBUG:root:Time[34237.77487 ms]: Job[44], ARRIVE, resnet50-2
DEBUG:root:Time[34333.05423 ms]: Job[45], ARRIVE, gpt-4
DEBUG:root:Time[34425.85975 ms]: Job[46], ARRIVE, resnet50-2
DEBUG:root:Time[35086.68268 ms]: Job[47], ARRIVE, gpt-2
DEBUG:root:Time[36497.29463 ms]: Job[48], ARRIVE, vgg16-1
DEBUG:root:Time[37587.80332 ms]: Job[49], ARRIVE, gpt-2
DEBUG:root:Time[39056.27840 ms]: Job[50], ARRIVE, vgg16-1
DEBUG:root:Time[40050.47912 ms]: Job[51], ARRIVE, mobilenet-4
DEBUG:root:Time[40168.02349 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[43161.04200 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[45937.28532 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[46318.42364 ms]: Job[55], ARRIVE, gpt-2
DEBUG:root:Time[47199.16452 ms]: Job[56], ARRIVE, resnet50-4
DEBUG:root:Time[49264.61377 ms]: Job[57], ARRIVE, vgg16-1
DEBUG:root:Time[50767.79767 ms]: Job[58], ARRIVE, mobilenet-2
DEBUG:root:Time[53164.00529 ms]: Job[59], ARRIVE, resnet50-4
