DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, gpt-2
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1
DEBUG:root:Time[113.59887 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[113.59887 ms]: Job[ 1], START, G2-G3
DEBUG:root:Time[1198.86258 ms]: Job[ 2], ARRIVE, mobilenet-2
DEBUG:root:Time[1198.86258 ms]: Job[ 2], START, G4-G5
DEBUG:root:Time[1621.95716 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[1621.95716 ms]: Job[ 3], START, G8-G9-G10-G11
DEBUG:root:Time[1674.19546 ms]: Job[ 4], ARRIVE, mobilenet-1
DEBUG:root:Time[1674.19546 ms]: Job[ 4], START, G6
DEBUG:root:Time[1993.44555 ms]: Job[ 5], ARRIVE, gpt-2
DEBUG:root:Time[1993.44555 ms]: Job[ 5], START, G12-G13
DEBUG:root:Time[2815.55264 ms]: Job[ 2], END, 1616.6900584795162
DEBUG:root:Time[3023.57319 ms]: Job[ 6], ARRIVE, gpt-4
DEBUG:root:Time[3023.57319 ms]: Job[ 6], START, G4-G5-G7-G14
DEBUG:root:Time[3316.69546 ms]: Job[ 4], END, 1642.4999999999998
DEBUG:root:Time[5030.80324 ms]: Job[ 7], ARRIVE, gpt-2
DEBUG:root:Time[5030.80324 ms]: Job[ 7], START, G6-G15
DEBUG:root:Time[5664.64441 ms]: Job[ 3], END, 4042.687251461982
DEBUG:root:Time[6491.47451 ms]: Job[ 1], END, 6377.875633528287
DEBUG:root:Time[6641.57742 ms]: Job[ 8], ARRIVE, gpt-4
DEBUG:root:Time[6641.57742 ms]: Job[ 8], START, G8-G9-G10-G11
DEBUG:root:Time[7565.33642 ms]: Job[ 9], ARRIVE, gpt-4
DEBUG:root:Time[7695.97700 ms]: Job[10], ARRIVE, resnet50-4
DEBUG:root:Time[7901.81081 ms]: Job[ 5], END, 5908.36526315789
DEBUG:root:Time[7913.15879 ms]: Job[ 9], START, G2-G3-G12-G13
DEBUG:root:Time[8019.10262 ms]: Job[11], ARRIVE, resnet50-4
DEBUG:root:Time[8079.66118 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[8195.66492 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[8224.96766 ms]: Job[14], ARRIVE, gpt-4
DEBUG:root:Time[9422.85912 ms]: Job[15], ARRIVE, gpt-4
DEBUG:root:Time[9612.54548 ms]: Job[16], ARRIVE, resnet50-2
DEBUG:root:Time[10600.51668 ms]: Job[17], ARRIVE, resnet50-1
DEBUG:root:Time[11730.77597 ms]: Job[18], ARRIVE, vgg16-2
DEBUG:root:Time[11769.63673 ms]: Job[ 0], END, 11769.636725146198
DEBUG:root:Time[11798.54495 ms]: Job[17], START, G0
