DEBUG:root:Time[0.00000 ms]: Job[ 0], ARRIVE, mobilenet-1
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G12
DEBUG:root:Time[1399.33730 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[1399.33730 ms]: Job[ 1], START, G13-G14
DEBUG:root:Time[1837.70306 ms]: Job[ 2], ARRIVE, gpt-4
DEBUG:root:Time[1837.70306 ms]: Job[ 2], START, G8-G9-G10-G11
DEBUG:root:Time[1971.00000 ms]: Job[ 0], END, 1971.0
DEBUG:root:Time[4219.45216 ms]: Job[ 3], ARRIVE, gpt-4
DEBUG:root:Time[4219.45216 ms]: Job[ 3], START, G4-G5-G6-G7
DEBUG:root:Time[4403.31805 ms]: Job[ 4], ARRIVE, gpt-2
DEBUG:root:Time[4403.31805 ms]: Job[ 4], START, G0-G1
DEBUG:root:Time[4500.24853 ms]: Job[ 5], ARRIVE, vgg16-1
DEBUG:root:Time[4500.24853 ms]: Job[ 5], START, G12
DEBUG:root:Time[6185.92853 ms]: Job[ 5], END, 1685.6800000000003
DEBUG:root:Time[8553.60173 ms]: Job[ 6], ARRIVE, mobilenet-2
DEBUG:root:Time[8553.60173 ms]: Job[ 6], START, G12-G15
DEBUG:root:Time[8583.70549 ms]: Job[ 7], ARRIVE, gpt-4
DEBUG:root:Time[9136.44398 ms]: Job[ 8], ARRIVE, gpt-2
DEBUG:root:Time[9136.44398 ms]: Job[ 8], START, G2-G3
DEBUG:root:Time[9212.78674 ms]: Job[ 9], ARRIVE, gpt-4
DEBUG:root:Time[11400.54228 ms]: Job[10], ARRIVE, gpt-4
DEBUG:root:Time[11949.19067 ms]: Job[ 4], END, 7545.872612085749
DEBUG:root:Time[11988.16032 ms]: Job[ 6], END, 3434.5585964911825
DEBUG:root:Time[11990.22448 ms]: Job[10], START, G12-G15-G0-G1
DEBUG:root:Time[12433.44919 ms]: Job[11], ARRIVE, gpt-4
DEBUG:root:Time[12514.24169 ms]: Job[ 7], START, G8-G9-G10-G11
DEBUG:root:Time[12551.94879 ms]: Job[ 2], END, 10714.245730994166
DEBUG:root:Time[13879.54814 ms]: Job[12], ARRIVE, gpt-2
DEBUG:root:Time[14550.86244 ms]: Job[ 8], END, 5414.418460039018
DEBUG:root:Time[14554.08850 ms]: Job[12], START, G2-G3
DEBUG:root:Time[15359.71352 ms]: Job[13], ARRIVE, vgg16-2
DEBUG:root:Time[16300.27015 ms]: Job[14], ARRIVE, resnet50-2
DEBUG:root:Time[18016.30326 ms]: Job[15], ARRIVE, gpt-2
DEBUG:root:Time[19267.57896 ms]: Job[16], ARRIVE, vgg16-1
DEBUG:root:Time[19275.71692 ms]: Job[17], ARRIVE, gpt-2
DEBUG:root:Time[20544.26347 ms]: Job[18], ARRIVE, mobilenet-2
DEBUG:root:Time[21495.88242 ms]: Job[19], ARRIVE, gpt-2
DEBUG:root:Time[23078.66407 ms]: Job[20], ARRIVE, gpt-4
DEBUG:root:Time[23545.41413 ms]: Job[21], ARRIVE, mobilenet-4
DEBUG:root:Time[23651.48432 ms]: Job[22], ARRIVE, vgg16-2
DEBUG:root:Time[24028.26616 ms]: Job[23], ARRIVE, gpt-2
DEBUG:root:Time[26212.57166 ms]: Job[24], ARRIVE, gpt-2
DEBUG:root:Time[27405.37089 ms]: Job[25], ARRIVE, resnet50-4
DEBUG:root:Time[28319.52250 ms]: Job[26], ARRIVE, gpt-2
DEBUG:root:Time[29335.06636 ms]: Job[27], ARRIVE, resnet50-1
DEBUG:root:Time[29709.44408 ms]: Job[28], ARRIVE, gpt-2
DEBUG:root:Time[30253.24198 ms]: Job[29], ARRIVE, gpt-4
DEBUG:root:Time[30610.26457 ms]: Job[30], ARRIVE, gpt-2
DEBUG:root:Time[30954.06809 ms]: Job[31], ARRIVE, mobilenet-1
DEBUG:root:Time[30961.67097 ms]: Job[32], ARRIVE, gpt-2
DEBUG:root:Time[32813.49957 ms]: Job[33], ARRIVE, mobilenet-4
DEBUG:root:Time[33092.61667 ms]: Job[34], ARRIVE, gpt-2
DEBUG:root:Time[33726.79617 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[34135.03695 ms]: Job[36], ARRIVE, vgg16-1
